mid;status;title;url
M112093325;ok;File:Christina Nilsson-Casa-de-Miranda SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093325
M112093331;ok;File:Christina Nilsson-Casa-de-Miranda SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093331
M112093348;ok;File:Christina Nilsson SPA12.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093348
M112093407;ok;File:Christina Nilsson-Casa-de-Miranda SPA12.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093407
M112093689;ok;File:Gustaf Sparre SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093689
M112093835;ok;File:Gustaf Adolf Vive Sparre SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112093835
M112094113;ok;File:Elias Lagerheim SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112094113
M112128668;ok;File:Christopher Anjou SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128668
M112131368;ok;File:Eva Rettig-Tisell SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112131368
M112134866;ok;File:David Munck-af-Rosenschöld SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112134866
M112135150;ok;File:Eberhard Munck-af-Rosenschöld SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112135150
M112162745;ok;File:Fredrik Berling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112162745
M112163588;ok;File:Fredrik Johan Berling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112163588
M112164383;ok;File:Gustaf Leonard Sparrman SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112164383
M112164947;ok;File:David Munck-af-Rosenschöld SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112164947
M112180568;ok;File:Fredrik Törnwall SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112180568
M112180641;ok;File:Fredrik Törnwall SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112180641
M112189466;ok;File:Emanuel Gabriel Björling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112189466
M112194288;ok;File:Frans von Schéele SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112194288
M112196983;ok;File:Emanuel Gabriel Björling SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112196983
M112207777;ok;File:Elsa Gullberg SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207777
M112207849;ok;File:Elsa Gullberg SPA13.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112207849
M112212269;ok;File:Gustaf Wilhelm Alexander Roos SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212269
M112212283;ok;File:Gustaf Wilhelm Alexander Roos SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212283
M112212319;ok;File:Gustaf Wilhelm Alexander Roos SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212319
M112212326;ok;File:Gustaf Wilhelm Alexander Roos SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212326
M112212884;ok;File:Carl Roos SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212884
M112214771;ok;File:Georg Bissmark SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214771
