item1_label,item1_id,item1_api,item1_image,item2_label,item2_id,item2_api,item2_image,distance
Betty Deland,sj9PGLAlnmUAAAAAABKEZQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZQ,Betty Deland,sj9PGLAlnmUAAAAAAA8KAw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8KAw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8KAw,1
Betty Deland,sj9PGLAlnmUAAAAAABKEZQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZQ,Betty Deland,sj9PGLAlnmUAAAAAAB2bbA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2bbA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2bbA,1
Betty Deland,sj9PGLAlnmUAAAAAABKEZw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZw,Betty Deland,sj9PGLAlnmUAAAAAAA8J_Q,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAA8J_Q,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAA8J_Q,2
Betty Deland,sj9PGLAlnmUAAAAAABKEZw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKEZw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKEZw,Betty Deland,sj9PGLAlnmUAAAAAAB2biQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2biQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2biQ,2
Elise Hwasser,sj9PGLAlnmUAAAAAABKHWg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHWg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHWg,Elise Hwasser,sj9PGLAlnmUAAAAAAB2c_w,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2c_w,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2c_w,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHXA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHXA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHXA,Elise Hwasser,sj9PGLAlnmUAAAAAAB2daA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2daA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2daA,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHYg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHYg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHYg,Elise Hwasser,sj9PGLAlnmUAAAAAAB2e-w,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2e-w,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2e-w,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHYQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHYQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHYQ,Elise Hwasser,sj9PGLAlnmUAAAAAAB2aWQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2aWQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2aWQ,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHYw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHYw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHYw,Elise Hwasser,sj9PGLAlnmUAAAAAAB2fZQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2fZQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2fZQ,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHZA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHZA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHZA,Elise Hwasser,sj9PGLAlnmUAAAAAAB2cig,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2cig,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2cig,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHZQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHZQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHZQ,Elise Hwasser,sj9PGLAlnmUAAAAAAB2eCw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2eCw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2eCw,0
Elise Hwasser,sj9PGLAlnmUAAAAAABKHZw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABKHZw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABKHZw,Elise Hwasser,sj9PGLAlnmUAAAAAAB2drQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAAB2drQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2drQ,0
