qid,label,id,birth,old_url,status,final_url,soft404,slug,changed
Q2960185,Charles Samaran,919,1879-10-28T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/919.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/919.html,True,919.html,False
Q3083617,François-Philippe Gourdin,1231,1739-11-08T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1231.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1231.html,True,1231.html,False
Q3267935,Magnus Olsen,859,1878-11-28T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/859.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/859.html,True,859.html,False
Q3358346,Troels Frederik Troels-Lund,852,1840-09-05T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/852.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/852.html,True,852.html,False
Q3430368,Ludvig Müller,813,1809-06-09T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/813.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/813.html,True,813.html,False
Q3659681,"Carlo Ottavio, Count Castiglione",1252,1784-10-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1252.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1252.html,True,1252.html,False
Q4247211,Ernst Kunik,1287,1814-10-14T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1287.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1287.html,True,1287.html,False
Q4251388,Heinrich Karl Ernst Köhler,778,1765-08-24T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/778.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/778.html,True,778.html,False
Q4251388,Heinrich Karl Ernst Köhler,778,1765-09-06T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/778.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/778.html,True,778.html,False
Q4569302,Elias Bredsdorff,1379,1912-01-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1379.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1379.html,True,1379.html,False
Q4821579,Augustus Wollaston Franks,814,1826-03-20T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/814.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/814.html,True,814.html,False
Q4992359,Sophus Müller,836,1846-05-24T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/836.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/836.html,True,836.html,False
Q5144685,Colette Caillat,990,1921-01-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/990.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/990.html,True,990.html,False
Q5557725,Eric Anthoni,938,1893-11-20T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/938.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/938.html,True,938.html,False
