,WikidataID,authorid,full_name,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
4260,,LärkaPAD,Per Anders Daniel Lärka,,LarkaPAD,True,2024-08-26,2024-08-26,,Litterturbanken_only
4712,,SLS,Svenska litteratursällskapet i Finland,Q769544,SLS,True,2024-06-24,2018-09-24,,Litterturbanken_only
4264,,LuthströmCJ,Carl Johan Luthström,,LuthstromCJ,True,2024-06-24,2024-06-24,,Litterturbanken_only
4266,,SolstrandP,Petter Solstrand,,SolstrandP,True,2024-06-24,2024-06-24,,Litterturbanken_only
4265,,EdelheimA,Anna Edelheim,,EdelheimA,True,2024-06-24,2024-06-24,,Litterturbanken_only
4730,,BSK,Bellmanssällskapet,Q10427902,BSK,True,2024-05-27,2017-10-26,,Litterturbanken_only
4734,,SGS,Förteckningar över Strindbergs Gröna Säcken,,SGS,True,2024-05-27,2017-06-13,,Litterturbanken_only
4640,,KeyG,Gustaf Key,,KeyG,True,2024-05-27,2021-03-01,,Litterturbanken_only
4652,,BerglundD,Dan Berglund,,BerglundD,True,2024-05-27,2020-09-21,,Litterturbanken_only
4656,,RunelidE,Effe Runelid,,RunelidE,True,2024-05-27,2020-04-27,,Litterturbanken_only
4661,,BerggrenM,Martin Berggren,,BerggrenM,True,2024-05-27,2019-11-28,,Litterturbanken_only
4722,,ForsseliusLJ,Laurentius Jonae Forsselius,,ForsseliusLJ,True,2024-05-27,2018-06-11,,Litterturbanken_only
4268,,LilljestjelkeER,Erik Reinhold Lilljestjelke,,LilljestjelkeER,True,2024-05-27,2024-05-27,,Litterturbanken_only
4269,,ArversF,Félix Arvers,,ArversF,True,2024-05-27,2024-05-27,,Litterturbanken_only
4270,,LagerbringS,Sven Lagerbring,,LagerbringS,True,2024-05-27,2024-05-27,75kmn8dr3hgv75k,Litterturbanken_only
4271,,ÖhrströmFW,Frans Wilhelm Öhrström,,OhrstromFW,True,2024-05-27,2024-05-27,,Litterturbanken_only
4277,,StyrellC,Carl Styrell,,StyrellC,True,2024-05-27,2024-05-27,,Litterturbanken_only
4272,,LucretiusCarusT,Titus Lucretius Carus,,LucretiusCarusT,True,2024-05-27,2024-05-27,31fhjbgm10dfss9,Litterturbanken_only
4273,,StadenbergCW,Claës Wilhelm Stadenberg,,StadenbergCW,True,2024-05-27,2024-05-27,,Litterturbanken_only
4274,,SoutsosP,Panagiotis Soutsos,,SoutsosP,True,2024-05-27,2024-05-27,,Litterturbanken_only
4275,,PetterssonJ,Johan Pettersson,,PetterssonJ,True,2024-05-27,2024-05-27,,Litterturbanken_only
4276,,StrömGA,G. A. Ström,,StromGA,True,2024-05-27,2024-05-27,,Litterturbanken_only
4286,,ÖhrbergCA,Carl Anders Öhrberg,,OhrbergCA,True,2024-01-29,2024-01-29,,Litterturbanken_only
4287,,KeksiA,Antti Mikkelinpoika Keksi,,KeksiA,True,2024-01-29,2024-01-29,,Litterturbanken_only
4288,,CarlssonSJ,Samuel Johan Carlsson,,CarlssonSJ,True,2024-01-29,2024-01-29,,Litterturbanken_only
4289,,ImneliusJO,Johan Olof Imnelius,,ImneliusJO,True,2024-01-29,2024-01-29,,Litterturbanken_only
4281,,RichterHerman,Herman Richter,,RichterHerman,True,2024-01-29,2024-01-29,,Litterturbanken_only
4739,,ServiusA,Andreas Servius,,ServiusA,True,2024-01-29,2016-12-07,,Litterturbanken_only
4634,,DahlgrenJH,Johan Henrik Dahlgren,,DahlgrenJH,True,2024-01-29,2021-03-01,,Litterturbanken_only
4632,,BäcklundCM,Carl Magnus Bäcklund,,BacklundCM,True,2024-01-29,2021-03-01,,Litterturbanken_only
4279,,TorsellO,Oscar Torsell,,TorsellO,True,2024-01-29,2024-01-29,,Litterturbanken_only
4280,,TextoriusAB,Anders Benjamin Textorius,,TextoriusAB,True,2024-01-29,2024-01-29,,Litterturbanken_only
4282,,TengströmA,Anna Tengström,,TengstromA,True,2024-01-29,2024-01-29,,Litterturbanken_only
4284,,TellanderKO,Karl Oskar Tellander,,TellanderKO,True,2024-01-29,2024-01-29,,Litterturbanken_only
4283,,ThiemeKT,Karl Traugott Thieme,,ThiemeKT,True,2024-01-29,2024-01-29,,Litterturbanken_only
4303,,HallströmGF,Gustaf Fredrik Hallström,,HallstromGF,True,2023-11-27,2023-11-27,,Litterturbanken_only
4315,,ÄdelgrenCAT,Carl Alfred Theodor Ädelgren,,AdelgrenCAT,True,2023-11-27,2023-11-27,,Litterturbanken_only
4314,,BergmarkCO,Carl Otto Bergmark,,BergmarkCO,True,2023-11-27,2023-11-27,,Litterturbanken_only
4313,,ÅhlströmC,Carolina Åhlström,,AhlstromC,True,2023-11-27,2023-11-27,,Litterturbanken_only
4312,,BlomstedtLR,L. R. Blomstedt,,BlomstedtLR,True,2023-11-27,2023-11-27,,Litterturbanken_only
4311,,KeyFS,Francis Scott  Key,,KeyFS,True,2023-11-27,2023-11-27,,Litterturbanken_only
4310,,HammarlöwA,Anton Hammarlöw,,HammarlowA,True,2023-11-27,2023-11-27,,Litterturbanken_only
4309,,EricssonJ,Johan Ericsson,,EricssonJ,True,2023-11-27,2023-11-27,,Litterturbanken_only
4308,,SamuelssonFL,Frans Leopold Samuelsson,,SamuelssonFL,True,2023-11-27,2023-11-27,,Litterturbanken_only
4307,,GrangrenJP,Johan Peter Grangren,,GrangrenJP,True,2023-11-27,2023-11-27,,Litterturbanken_only
4306,,LeksellLJZ,Lars Johan Zefyrinus Leksell,,LeksellLJZ,True,2023-11-27,2023-11-27,,Litterturbanken_only
4305,,AhlgrenJ,John Ahlgren,,AhlgrenJ,True,2023-11-27,2023-11-27,,Litterturbanken_only
4304,,WästfeltA,Augusta Wästfelt,,WastfeltA,True,2023-11-27,2023-11-27,0fpvsjm7xfqd5lnf,Litterturbanken_only
4302,,EdlerNA,Nils Arvid Edler,,EdlerNA,True,2023-11-27,2023-11-27,,Litterturbanken_only
4301,,KindeströmN,Napoleon Kindeström,,KindestromN,True,2023-11-27,2023-11-27,,Litterturbanken_only
4300,,KjellbergJP,Johan Peter Kjellberg,,KjellbergJP,True,2023-11-27,2023-11-27,,Litterturbanken_only
4299,,HelanderJ,Josef Helander,,HelanderJ,True,2023-11-27,2023-11-27,,Litterturbanken_only
4298,,BerglundPO,P. O. Berglund,,BerglundPO,True,2023-11-27,2023-11-27,,Litterturbanken_only
4297,,WikströmM,Magnus Wikström,,WikstromM,True,2023-11-27,2023-11-27,,Litterturbanken_only
4296,,HaganderG,Gustaf Hagander,,HaganderG,True,2023-11-27,2023-11-27,,Litterturbanken_only
4295,,EngströmJF,Johan Fredrik Engström,,EngstromJF,True,2023-11-27,2023-11-27,,Litterturbanken_only
4294,,AgrellEA,Erik August Agrell,,AgrellEA,True,2023-11-27,2023-11-27,,Litterturbanken_only
4293,,PalmérJ,Johannes Palmér,,PalmerJ,True,2023-11-27,2023-11-27,,Litterturbanken_only
