url,name,birth
https://www.vitterhetsakademien.se/ledamoter/ledamoter/grandel-lars.html,"Grandel, Lars",1750-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/brohed-ingmar.html,"Brohed, Ingmar",1940-01-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/pipping-knut-hugo.html,"Pipping, Knut Hugo",1864-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lindberg-folke-adolf.html,"Lindberg, Folke Adolf",1903-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/save-soderbergh-torgny.html,"Säve-Söderbergh, Torgny",1914-06-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-waldheim-johan-wilhelm-schurer-.html,von Waldheim Johan Wilhelm Schürer,1843-05-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/kromnow-ernst-ake.html,"Kromnow, Ernst Åke",1914-05-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hannerberg-carl-david.html,"Hannerberg, Carl David",1900-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/virchow-rudolf-ludwig-karl.html,"Virchow, Rudolf Ludwig Karl",1821-10-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/gjerstad-erik-paul-einar.html,"Gjerstad, Erik Paul Einar",1897-10-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/berg-gosta.html,"Berg, Gösta",1903-07-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/delgado-y-hernandez-antonio.html,"Delgado y Hernandez, Antonio",1805-01-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/rivett-carnac-john-henry-.html,"Rivett-Carnac, John Henry",1838-09-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/vejde-pehr-gunnar.html,"Vejde, Pehr Gunnar",1885-09-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ward-perkins-john-bryan-.html,"Ward-Perkins, John Bryan",1912-02-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/de-laval-patrik-georg-fabian.html,"de Laval, Patrik Georg Fabian",1883-04-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/johannisson-ture-gustaf.html,"Johannisson, Ture Gustaf",1903-09-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/reinach-salomon.html,"Reinach, Salomon",1858-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lagercrantz-carl-otto.html,"Lagercrantz, Carl Otto",1868-02-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lindroth-sten-hjalmar.html,"Lindroth, Sten Hjalmar",1914-12-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/porthan-henrik-gabriel.html,"Porthan, Henrik Gabriel",1739-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/klingner-friedrich.html,"Klingner, Friedrich",1894-07-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/oehlenschlager-adam-gottlob.html,"Oehlenschläger, Adam Gottlob",1779-11-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ritter-carl-georg.html,"Ritter, Carl Georg",1779-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/bolin-anders-sture-ragnar.html,"Bolin, Anders Sture Ragnar",1900-05-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/stromback-dag-alvar.html,"Strömbäck, Dag Alvar",1900-08-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lorange-hans-peter.html,"L’Orange, Hans Peter",1903-03-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/petherick-karin-rosamund.html,"Petherick, Karin Rosamund",1929-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/kornerup-bjorn-stisgaard.html,"Kornerup, Bjørn Stisgaard",1896-05-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wiklund-karl-bernhard.html,"Wiklund, Karl Bernhard",1868-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/uppstrom-anders.html,"Uppström, Anders",1806-06-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hagdahl-johan-emil.html,"Hagdahl, Johan Emil",1836-04-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/macaulay-thomas-babington.html,"Macaulay, Thomas Babington",1800-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/machado-jose-pedro.html,"Machado, José Pedro",1914-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hedell-ludvig-edvard.html,"Hedel,l Ludvig Edvard",1844-10-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/graebe-eiler-otto.html,"Græbe, Eiler Otto",1892-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ellenius-allan-mattias.html,"Ellenius, Allan Mattias",1927-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hallendorff-carl-jakob-herman.html,"Hallendorff, Carl Jakob Herman",1869-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/berger-svante-edwin-lson.html,"Berger, Svante Edwin L:son",1871-05-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/schlyter-carl-johan.html,"Schlyter, Carl Johan",1795-01-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hallstrom-gunnar-august.html,"Hallström, Gunnar August",1875-05-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hildebrand-henrik-robert-teodor-emil.html,"Hildebrand, Henrik Robert Teodor Emil",1848-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wallroth-karl-august.html,"Wallroth, Karl-August",1860-09-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hamberg-per-gustaf.html,"Hamberg, Per Gustaf",1913-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/arrhenius-birgit.html,"Arrhenius, Birgit",1932-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/westman-karl-gustaf.html,"Westman, Karl Gustaf",1876-08-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hansson-hans-wilhelm.html,"Hansson, Hans Wilhelm",1907-02-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/walker-john.html,"Walker, John",1900-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/montelius-gustaf-oscar-augustin.html,"Montelius, Gustaf Oscar Augustin",1843-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/jankuhn-herbert.html,"Jankuhn, Herbert",1905-08-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/kjellmark-knut-bernhard.html,"Kjellmark, Knut Bernhard",1866-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/ohmann-emil.html,"Öhmann, Emil",1894-01-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/sylwan-otto.html,"Sylwan, Otto",1864-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/erlandsson-theodor-sixten.html,"Erlandsson, Theodor Sixten",1869-02-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tischler-otto.html,"Tischler, Otto",1843-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nilsson-sven-augustinus.html,"Nilsson, Sven Augustinus",1914-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/jonsson-inge.html,"Jonsson, Inge",1928-11-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/schuck-adolf-henrik.html,"Schück, Adolf Henrik",1897-02-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/seton-alexander.html,"Seton, Alexander",1768-12-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lagerberg-adam-magnus-emanuel.html,"Lagerberg, Adam Magnus Emanuel",1844-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/orsi-paolo.html,"Orsi, Paolo",1859-10-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/jansson-anders-teodor-sam-owen.html,"Jansson, Anders Teodor Sam Owen",1906-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/engkvist-olle-theodor.html,"Engkvist, Olle Theodor",1889-05-3
https://www.vitterhetsakademien.se/ledamoter/ledamoter/pallas-peter-simon.html,"Pallas, Peter Simon",1741-09-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/thomas-william-widgery.html,"Thomas, William Widgery",1839-08-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/von-der-hagen-friedrich-heinrich-.html,von der Hagen Friedrich Heinrich,1780-0219
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hellstrom-eric-gunnar.html,"Hellström, Eric Gunnar",— d. 198
https://www.vitterhetsakademien.se/ledamoter/ledamoter/schwabacher-wilhelm-heinrich.html,"Schwabacher, Wilhelm Heinrich",1897-07-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/riant-paul-edouard-bidier.html,"Riant, Paul Edouard Bidier",1836 — d.
https://www.vitterhetsakademien.se/ledamoter/ledamoter/kjollerstrom-sven-gottlieb.html,"Kjöllerström, Sven Gottlieb",1901-01-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/westrin-johan-theodor.html,"Westrin, Johan Theodor",1850-01-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/biornstad-margareta.html,"Biörnstad, Margareta",1928-05-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/sarauw-georg-frederik-ludvig.html,"Sarauw, Georg Frederik Ludvig",1862-11-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/sylvander-gustaf-wolmar.html,"Sylvander, Gustaf Wolmar",1816-01-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/stolt-birgit.html,"Stolt, Birgit",1927-06-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/jonsson-bengt-olof-anders-robert.html,"Jonsson, Bengt Olof Anders Robert",1930-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/welin-karl-sanfrid-viktor.html,"Welin, Karl Sanfrid Viktor",1855-12-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tihleman-georg-frans.html,"Tihleman, Georg Frans",1770-08-1
