source_spa_id,target_spa_id
sj9PGLAlnmUAAAAAAB2V0A,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAABfOWA
sj9PGLAlnmUAAAAAABfOWA,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAACa-lg
sj9PGLAlnmUAAAAAACa-lg,I_2wtd5VefAAAAAAAABETA
I_2wtd5VefAAAAAAAABETA,sj9PGLAlnmUAAAAAACa-lw
sj9PGLAlnmUAAAAAACa-lw,I_2wtd5VefAAAAAAAABETA
sj9PGLAlnmUAAAAAACcZ6Q,sj9PGLAlnmUAAAAAABfTkw
sj9PGLAlnmUAAAAAABfTkw,sj9PGLAlnmUAAAAAACcZ6Q
sj9PGLAlnmUAAAAAACcZ6Q,wbbNj8LLWMAAAAAAAAA4pA
wbbNj8LLWMAAAAAAAAA4pA,sj9PGLAlnmUAAAAAACcZ6Q
sj9PGLAlnmUAAAAAABfTkw,wbbNj8LLWMAAAAAAAAA4pA
wbbNj8LLWMAAAAAAAAA4pA,sj9PGLAlnmUAAAAAABfTkw
sj9PGLAlnmUAAAAAABfb6A,ciLMGSqrYjAAAAAAAABOzg
ciLMGSqrYjAAAAAAAABOzg,sj9PGLAlnmUAAAAAABfb6A
ciLMGSqrYjAAAAAAAABOzg,4e1scVvZ-EAAAAAAAAAnCA
4e1scVvZ-EAAAAAAAAAnCA,ciLMGSqrYjAAAAAAAABOzg
ciLMGSqrYjAAAAAAAABOzg,ciLMGSqrYjAAAAAAAABOzQ
ciLMGSqrYjAAAAAAAABOzQ,ciLMGSqrYjAAAAAAAABOzg
ciLMGSqrYjAAAAAAAABOzg,sj9PGLAlnmUAAAAAABfb6A
sj9PGLAlnmUAAAAAABfb6A,ciLMGSqrYjAAAAAAAABOzg
ciLMGSqrYjAAAAAAAABOzg,sj9PGLAlnmUAAAAAABlR1w
sj9PGLAlnmUAAAAAABlR1w,ciLMGSqrYjAAAAAAAABOzg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApeA
0piq-fX0h5AAAAAAAAApeA,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApeg
0piq-fX0h5AAAAAAAAApeg,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApeQ
0piq-fX0h5AAAAAAAAApeQ,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApew
0piq-fX0h5AAAAAAAAApew,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApfA
0piq-fX0h5AAAAAAAAApfA,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApfQ
0piq-fX0h5AAAAAAAAApfQ,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAAApfw
0piq-fX0h5AAAAAAAAApfw,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,0piq-fX0h5AAAAAAAABNSg
0piq-fX0h5AAAAAAAABNSg,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,mLh5P0pzYFAAAAAAAAArbw
mLh5P0pzYFAAAAAAAAArbw,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,sj9PGLAlnmUAAAAAABpA3Q
sj9PGLAlnmUAAAAAABpA3Q,0piq-fX0h5AAAAAAAAApfg
0piq-fX0h5AAAAAAAAApfg,sj9PGLAlnmUAAAAAACehxA
sj9PGLAlnmUAAAAAACehxA,0piq-fX0h5AAAAAAAAApfg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAA3cg
NhqpvvI9tpAAAAAAAAA3cg,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA4w
NhqpvvI9tpAAAAAAAAAA4w,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5A
NhqpvvI9tpAAAAAAAAAA5A,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5g
NhqpvvI9tpAAAAAAAAAA5g,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5Q
NhqpvvI9tpAAAAAAAAAA5Q,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5w
NhqpvvI9tpAAAAAAAAAA5w,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA6A
NhqpvvI9tpAAAAAAAAAA6A,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA6Q
NhqpvvI9tpAAAAAAAAAA6Q,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAArQA
NhqpvvI9tpAAAAAAAAArQA,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAtHg
NhqpvvI9tpAAAAAAAAAtHg,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABe2mA
sj9PGLAlnmUAAAAAABe2mA,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABKbPA
sj9PGLAlnmUAAAAAABKbPA,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABTWAw
sj9PGLAlnmUAAAAAABTWAw,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,sj9PGLAlnmUAAAAAABUQLQ
sj9PGLAlnmUAAAAAABUQLQ,seuNpYu6DKAAAAAAAABYxg
NhqpvvI9tpAAAAAAAAAA5g,seuNpYu6DKAAAAAAAABYxg
seuNpYu6DKAAAAAAAABYxg,NhqpvvI9tpAAAAAAAAAA5g
sj9PGLAlnmUAAAAAABfOnw,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,sj9PGLAlnmUAAAAAABfOnw
seuNpYu6DKAAAAAAAABlPg,lzSYNK3ifoMAAAAAAAbcfg
lzSYNK3ifoMAAAAAAAbcfg,seuNpYu6DKAAAAAAAABlPg
seuNpYu6DKAAAAAAAABlPg,mLh5P0pzYFAAAAAAAAA4UA
