qid,label,birth,wd_id
Q656479,Carl Magnus Fürst,1854,368
Q725846,Bengt Erland Fogelberg,1786,1013
Q735070,Helgo Zettervall,1831,342
Q875950,Francesco Maria Avellino,1788,1266
Q896571,Olof Celsius,1716,257
Q931295,Isak Gustaf Clason,1856,371
Q935013,Göran Malmqvist,1924,99
Q1066991,Paolo Matthiae,1940,190
Q1353900,Erik Forssman,1915,154
Q1453234,Fredric Westin,1782,458
Q1502802,Geo Widengren,1907,692
Q1515209,Gert Hatz,1928,210
Q1578711,Hans Bielenstein,1920,149
Q1731903,Peter Berghaus,1919,208
Q2072778,Vilhelm Andersen,1864,906
Q2487226,Carl Ivar Ståhle,1913,664
Q2582187,Willy Schwabacher,1897,1197
Q2854821,Kristian Kaalund,1844,1335
Q3055194,Matti Klinge,1936,186
Q3439851,Gustaf Löwenhielm,1771,306
Q3886396,Oscar Botto,1922,985
Q4574533,Eilert Ekwall,1877,557
Q4981797,Astrid Söderbergh Widding,1963,135
Q4992875,Karl Warburg,1852,520
