,authorid,WikidataID,librisid,WD_LIBRISXL
479,JönssonAM,Q114115124,,ljx01rp45sr1r0n
480,JörgensenN,Q100574878,,wt79bjzf3whk4cx
482,KafkaF,Q905,,vs6890md120bwhj
483,KahlsonG,Q110212315,,b8nqtnxv59x5q6l
486,KalmeterH,Q5898294,,86lnq8rs0gd1z7b
487,KarlssonKH,Q5901669,,fcrtwx0z3h504dc
489,KaulbachW,Q604107,,vs69dhrd5bbwrs4
491,KempeA,Q498733,,42gjk9mn19vzg5g
492,KeniciusP,Q1345250,,0xbdgvnj1qjsjgt
497,KinckHE,Q1579293,,nl0257160x4td71
498,KiöpingNM,Q5911782,,dbqsvgbx1lkldpw
499,KjellgrenJ,Q6143413,,pm134df706nwflg
500,KlemanA,Q47457583,,cqzztlz79p9qwxdb
501,KlitgaardPovlsenK,Q114115793,,1zcfgqzk31lpd8c
504,KnösO,Q4225027,,nl037z963dn8kp1
509,KolmodinI,Q1674617,,dbqsvz8x24h293w
518,KristjánsdottirD,Q56736511,,wt7945cf3gzr0z0
521,KræmerARvon,Q5925056,,64jlp1cq351t7z2
522,KræmerV,Q4959702,,b8nqldbv5025h52
523,KrügerHanssonK,Q97929079,,pm13zrq746hnntf
526,KärnellKÅ,Q99849334,,c9prtr7w1tx945l
528,KöhlerE,Q3427152,,86lnrrds29w56g5
529,KöhlerJI,Q55909803,,xv8cgdhg3hlhghx
530,KönigsmarckA,Q440427,,hftwzcn1428sffd
531,KörlingF,Q5929206,,khwz28635810wv7
535,LagercrantzMV,Q100320095,,sq469tcb1rkn509
537,LagusE,Q5931795,,0xbdg1wj1ll60cm
544,LarsenSteinP,Q28759779,,97mpqjbt1b9ztrl
548,LaurembergP,Q2076588,,jgvz654231gvc09
549,LaurembergP,Q2076588,,jgvz654231gvc09
550,LaurinCG,Q5940589,,b8nqq81v5mt0pl6
561,LiBai,Q7071,,b8nqlhxv1b7wbnz
565,LiefdeJ,Q2414590,,wt7bkzcf5jv355m
567,LiljestrandB,Q99849869,,htxcqp15fqtzv8rz
571,LindC,Q108374835,,c9pswdkw4rq4q86
572,LindahlE,Q5953067,,zw9cf71h01l9z34
573,LindahlGE,Q64624711,,20dhqhfl25h22qf
575,LindahlP,Q5953195,,c9psxzzw1w3cs8w
582,LindhC,Q114117261,,20dgk81l5sd6rch
585,LindqvistG,Q5957493,,rp358g093pmfhlk
586,LindroosB,Q3362829,,0xbdh4gj50f80w4
587,LindrothS,Q5957946,,qn246bh811hhrkj
589,LindströmG,Q4125260,,53hlpqvp5hzhm8q
596,LjungbergCF,Q114119654,,42gkpnfn1rx9322
598,LjunghE,Q28025681,,53hlpqlp3b9dbgh
600,LobwasserA,Q73956,,gdsvxcl05tp29bv
601,LockeJ,Q9353,,53hkmkrp1gq7nrd
602,LockeJ,Q9353,,53hkmkrp1gq7nrd
606,Lundberg-NyblomE,Q16595719,,khwztrw33t7f3lx
607,LundbergBA,Q28602317,,wt7bfthf0zd9t7x
611,LundequistL,Q4964068,,c9psz89w3d755b1
612,LundkvistA,Q439832,,dbqstw3x359v6bm
614,LundquistB,Q5967339,,c9prtjvw4z01hsk
617,LundénT,Q32527586,,97mqvg0t33cm81n
621,LärnH,Q18274626,,b8nqs74v0sr81nb
622,LärnV,Q547466,,86lnjhxs4tr2zjp
623,LångF,Q5400761,,1zcfhqlk1kdrn0b
627,MacleanR,Q4992745,,gdsvw6203g863l4
632,MalmbergCJ,Q5973626,,c9prsqfw4nn4sr4
635,MalmgrenSG,Q48964222,,pm136v875q78n77
637,MalmströmCG,Q2518893,,jgvx09s23sl570d
639,MalmströmS,Q56164101,,gdsvw7c01v3jtvl
645,MartinLA,Q3260275,,ljx14mg45bvsckq
651,MelanderMarttalaU,Q96246341,,khwz0vg31rst567
657,MeyersonG,Q4967157,,fcrtwfjz3fqt42j
659,Mimnermos,Q316129,,53hlp9mp1s1d9gg
660,MiocevicL,Q105727439,,75knxsdr2w544xs
664,MolanderBeyerM,Q114120337,,97mpkp0t04kfqgx
666,MontesquieuCLS,Q15975,,b8nqr2vv0kz5b57
672,MossaedJ,Q4968221,,rp3588h9302mhws
673,MunckK,Q114121439,,gdsw45j01xdppvg
675,MyrbergA,Q4767368,,vs6849xd24mdrvz
676,MånssonP,Q1663076,,nl023f663fdr6t1
677,MöllerA,Q6000859,,nl025dz62m3rkbj
679,MöllerJohan,Q6001036,,nl025dm64r5xq0j
680,MüllerL,Q100566908,,qn259h685g929bf
684,NikulaK,Q109391029,,jgvx0b82388555w
686,NilssonAM,Q4969551,,wt79bpff5hjqds8
687,NilssonAM,Q4969551,,wt79bpff5hjqds8
688,NilssonAM,Q4969551,,wt79bpff5hjqds8
692,NordalB,Q24701089,,0xbd70zj08hjvnh
695,NordencrantzA,Q6014555,,hftwzh810njzrhs
696,NordenskiöldCF,Q6014711,,c9psxwjw0lp68sr
699,NordstromAJ,Q38420390,,42gkn5dn44rg2tk
700,NordströmEB,Q4970156,,pm1357g7252cxlv
702,NorléenW,Q15918080,,jgvz2mn21h55sj5
705,NumersH,Q4970435,,0xbdgrbj2d58366
706,NyblomA,Q117003745,,pm135r1739kmvpr
707,NymanM,Q47067986,,86lnp9ss22xbhz3
709,NyströmE,Q6020589,,jgvx0rh238cw2g3
710,NyströmE,Q6020589,,jgvx0rh238cw2g3
711,NyströmL,Q16650057,,1zcgkx4k21tvbrs
712,NyströmM,Q11880887,,fcrtxcnz32w9bg0
713,OdelmanE,Q93225087,,ljx02244367d27l
714,OhrlanderG,Q3429810,,mkz12fj514cvqpx
715,OlaiA,Q16158918,,dbqsv9cx349tlss
716,OlausErici,Q16649185,,rp369pn90kg22vq
719,OlofssonH,Q114121959,,zw9cf07h49rlckr
720,OlsonE,Q6026223,,vs69ddbd5g90zsw
726,OxenstiernaGL,Q19976905,,53hlpwlp0746z61
727,OxenstiernaJ,Q16945439,,wt7bfmbf5stn5jj
728,PahlmbladC,Q95342690,,zw9dhv3h5ps1969
732,PalmcronA,Q6184812,,hftwzmh12jcx4nw
733,PalmkvistN,Q31664751,,tr58cldc1khlnn1
737,ParlandO,Q459710,,75kmnftr0b4lmst
738,ParlandS,Q4971949,,42gkssbn3pxf4vt
744,PersonneJ,Q6042488,,pm147bl74xq44sj
746,PetreR,Q6045820,,rp369jt955st8s3
747,PetriniG,Q4972683,,0xbd9l9j534z8xw
748,PetrusJohannisGothus,Q6046364,,xv8bdspg4814l2p
751,PetterssonT,Q6047440,,64jlm9jq2wpnq8x
754,PippingR,Q333399,,20dgcpxl479hkr1
755,PlantinEZ,Q116984644,,53hlqbgp51sgxct
757,PoissonAEX,Q2849269,,75knxxdr274bv40
759,PoratD,Q6053874,,xv8bftng4qdnhrl
761,PosseCM,Q66581829,,sq47bkvb2zcc9s2
762,PosseN,Q6054534,,gdsvww705kk957d
763,PrahlN,Q12328881,,64jmtt0q296bkjx
764,PreinitzA,Q50804810,,gdsvr47047h8l4p
768,RabbénJ,Q15734610,,nl03bk762f25h3x
771,RambachJJ,Q87424,,hftw0m414t1v61h
776,ReenstiernaMH,Q517853,,c9pszcgw2c4wqxf
777,RegnérG,Q6066366,,c9prvq5w46kzs72
780,RelandA,Q247320,,jgvxt8820v0sgj0
781,RelandA,Q247320,,jgvxt8820v0sgj0
791,RingströmN,Q28840189,,xv8bdbpg4m9qbr3
795,RohdinCA,Q6076913,,xv8cl95g4qlr9qx
796,RoineJ,Q18245441,,1zcgn75k0p1kkpb
798,RomdahlAL,Q6077749,,75kmql3r53xxmqx
799,RosenadlerJ,Q6220177,,vs689p2d0vq7lt2
803,RoseniusCO,Q636426,,pm147kg734tg9b8
807,RotheCP,Q12305529,,wt7bh38f3l15c7m
