"mid","status","title","url"
"M112403652","ok","File:Bengt Gustafsson-Nordenskiöld SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112403652"
"M112417023","ok","File:Axel Erik von Sydow SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112417023"
"M112417095","ok","File:Axel Hermelin SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112417095"
"M112417529","ok","File:Axel Fredrik Roos SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112417529"
"M112418187","ok","File:Bengt Ahlbom SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418187"
"M112418216","ok","File:Bengt Ahlbom SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418216"
"M112418285","ok","File:Bengt Ahlbom SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418285"
"M112418310","ok","File:Bengt Ahlbom SPA3.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418310"
"M112418320","ok","File:Bengt Ahlbom SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418320"
"M112418327","ok","File:Bengt Ahlbom SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418327"
"M112418331","ok","File:Bengt Ahlbom SPA6.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418331"
"M112418336","ok","File:Bengt Ahlbom SPA7.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112418336"
"M112426769","ok","File:Axel Meister SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426769"
"M112426774","ok","File:Axel Meister SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426774"
"M112426809","ok","File:Axel Meister SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426809"
"M112426830","ok","File:Axel Meister SPA4.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426830"
"M112426849","ok","File:Axel Meister SPA5.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426849"
"M112426871","ok","File:Axel Meister SPA6.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426871"
"M112426887","ok","File:Axel Meister SPA7.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426887"
"M112426895","ok","File:Axel Meister SPA8.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426895"
"M112426902","ok","File:Axel Meister SPA9.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112426902"
"M111987214","ok","File:Bertil Lundman SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111987214"
"M112225417","ok","File:Berth Söderlund SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112225417"
"M112225429","ok","File:Bernhard Bengtsson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112225429"
"M112225492","ok","File:Bernhard Bengtsson2 SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112225492"
"M112233088","ok","File:Britta Gröndahl SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112233088"
"M112239131","ok","File:Birger Gregersson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112239131"
"M112239186","ok","File:Birger Lensander SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M112239186"
