,0,1
628,M112666803,Q5464504
629,M112666830,Q5464504
630,M112666835,Q5464504
631,M112666843,Q5464504
632,M112666850,Q5464504
633,M112666861,Q5464504
634,M112689533,Q6186295
635,M112689634,Q6186295
636,M112689656,Q6186295
637,M112689685,Q6186295
638,M112689708,Q6186295
639,M112689774,Q6186295
640,M112690210,Q6186295
641,M112692103,Q6186295
642,M112704713,Q109667983
643,M112704735,Q109667983
644,M112704743,Q109667983
645,M112704748,Q109667983
646,M112704759,Q109667983
647,M112802264,Q27862851
648,M112802273,Q27862851
649,M112802390,Q27862851
650,M112376452,Q95575276
651,M112376516,Q95575276
652,M112380043,Q61746408
653,M112413133,Q5499548
654,M112413141,Q5499548
655,M112441285,Q6184976
656,M112442945,Q6198032
657,M112445595,Q6198032
658,M112445601,Q6198032
659,M112445603,Q6198032
660,M112445607,Q6198032
661,M112445612,Q6198032
662,M112445614,Q6198032
663,M112509902,Q6170263
664,M112509978,Q5602525
665,M112510023,Q5602525
666,M112510075,Q16945331
667,M112510326,Q16945331
668,M112510332,Q16945331
669,M112510337,Q16945331
670,M112510413,Q16945331
671,M112510421,Q16945331
672,M112548308,Q15713844
673,M112548318,Q15713844
674,M112548876,Q18245506
675,M112548882,Q18245506
676,M112548919,Q18245506
677,M112548927,Q18245506
678,M112572957,Q98180765
679,M112627172,Q15810581
680,M112631284,Q106703889
681,M112631290,Q106703889
682,M112650827,Q30074944
683,M112651813,Q88714872
684,M112651825,Q88714872
685,M112651829,Q88714872
686,M112651834,Q88714872
687,M112685760,Q109659500
688,M112713025,Q16650548
689,M112713069,Q16650548
690,M112713086,Q16650548
691,M112732867,Q5622757
692,M112732872,Q5622757
693,M112732878,Q5622757
694,M112757882,Q16650018
695,M112757893,Q16650018
696,M112759713,Q19976184
697,M112759749,Q19976184
698,M112766803,Q106299620
699,M112766832,Q106299620
700,M112362388,Q5556673
701,M112362400,Q5556673
702,M112362404,Q5556673
703,M112362414,Q5556673
704,M112362432,Q5556673
705,M112362436,Q5556673
706,M112375655,Q16650200
707,M112375663,Q16650200
