,all,WikidataID,spaid,Littauthorid,score,FirstNameWD,LastNameWD,BirthDayWD,FirstNameSPA,LastNameSPA,BirthDaySPA,searchStr,BirthYearSPA,BirthYearWD,wd,Littbank,WD,WD_template,SPA,WikicommonsUrl,name_Ascii,name_str,CommonsCat,UploadUrl
1439,Karl Bertil Hasselberg 1897,,j6S8rJvx9lAAAAAAAACeoA,HasselbergB,30.640968,,,,Bertil,Hasselberg,,,1897,1897,Q116921348,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/HasselbergB'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q116921348'>Q116921348</a>,{{Q|Q116921348}},<a target=_blank href='https://portrattarkiv.se/details/j6S8rJvx9lAAAAAAAACeoA'>link SPA</a>,,,,,
541,Elisabeth Lilljebjörn 1862,,sj9PGLAlnmUAAAAAACboXg,LilljebjörnE,30.638784,Elisabeth,,,Elisabeth,Claesson,,,1862,1862,Q64412191,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LilljebjörnE'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q64412191'>Q64412191</a>,{{Q|Q64412191}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAACboXg'>link SPA</a>,,,,,
2204,Johan Peter Nyberg 1829,,Di4a42b6X_AAAAAAAAAkxw,NybergJP,30.63718,Johan,,,Johan,Johansson,,,1829,1829,Q108865236,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/NybergJP'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q108865236'>Q108865236</a>,{{Q|Q108865236}},<a target=_blank href='https://portrattarkiv.se/details/Di4a42b6X_AAAAAAAAAkxw'>link SPA</a>,,,,,
1582,Hilma Andersson 1839,,4e1scVvZ-EAAAAAAAAAt6g,AnderssonHilma,30.632542,Hilma,,,Hilma,Thamsten,,,1839,1839,Q98545776,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/AnderssonHilma'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q98545776'>Q98545776</a>,{{Q|Q98545776}},<a target=_blank href='https://portrattarkiv.se/details/4e1scVvZ-EAAAAAAAAAt6g'>link SPA</a>,,,,,
381,Ingemar Wizelius 1910,,sj9PGLAlnmUAAAAAAB5uPQ,WizeliusI,30.609982,Ingemar,,,Ingemar,Hessén,,,1910,1910,Q52157224,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/WizeliusI'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q52157224'>Q52157224</a>,{{Q|Q52157224}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAAB5uPQ'>link SPA</a>,,,,,
449,Ludvig Alexander Rosencrantz Balchen 1830,,sj9PGLAlnmUAAAAAABMH7A,BalchenLAR,30.596237,Ludvig,,,Jonas,Schander,,,1830,1830,Q52635024,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BalchenLAR'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q52635024'>Q52635024</a>,{{Q|Q52635024}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABMH7A'>link SPA</a>,,,,,
1747,Magnus Ehrenhold Andersson 1849,,YB0QHyfj0hAAAAAAAAHftw,AnderssonME,30.588623,Magnus,,,Magnus,Stenberg,,,1849,1849,Q110761324,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/AnderssonME'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q110761324'>Q110761324</a>,{{Q|Q110761324}},<a target=_blank href='https://portrattarkiv.se/details/YB0QHyfj0hAAAAAAAAHftw'>link SPA</a>,,,,,
2144,Lars Johan Govenius 1828,,seuNpYu6DKAAAAAAAABldg,GoveniusLJ,30.576199,Lars,,,Lars,Siktberg,,,1828,1828,Q108839696,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/GoveniusLJ'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q108839696'>Q108839696</a>,{{Q|Q108839696}},<a target=_blank href='https://portrattarkiv.se/details/seuNpYu6DKAAAAAAAABldg'>link SPA</a>,,,,,
450,Ludvig Alexander Rosencrantz Balchen 1830,,wbbNj8LLWMAAAAAAAABLcg,BalchenLAR,30.548985,Ludvig,,,Ludvig,Norrby,,,1830,1830,Q52635024,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BalchenLAR'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q52635024'>Q52635024</a>,{{Q|Q52635024}},<a target=_blank href='https://portrattarkiv.se/details/wbbNj8LLWMAAAAAAAABLcg'>link SPA</a>,,,,,
1208,Hedvig Atterbom-Svenson 1861,,sj9PGLAlnmUAAAAAABOdyg,AtterbomSvensonH,30.497543,Hedvig,,,Hedvig,Mesterton,,,1861,1861,Q100319912,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/AtterbomSvensonH'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q100319912'>Q100319912</a>,{{Q|Q100319912}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABOdyg'>link SPA</a>,,,,,
