,WikidataID,authorid_x,SBL,SKBL,wikidata.wikipedia,wikidata.wikidata_id,wikidata.sbl_link,wikidata.skbl_link,wikidata.sol_link,authorid_y,WD_Littbank_SBL_merge_outer
595,Q369002,MartinE,9126.0,,https://sv.wikipedia.org/wiki/Elias_Martin,Q369002,9126.0,,,MartinE,both
596,Q132695,MartinsonH,9140.0,,https://sv.wikipedia.org/wiki/Harry_Martinson,Q132695,9140.0,,,MartinsonH,both
597,Q42161972,MartinssonH,9143.0,,https://sv.wikipedia.org/wiki/Herman_Martinsson,Q42161972,9143.0,,,MartinssonH,both
598,Q5770435,MatssonG,10299.0,,https://sv.wikipedia.org/wiki/Gregers_Matsson_(Lillie),Q5770435,10299.0,,,MatssonG,both
599,Q16649933,Matthias,9164.0,,https://sv.wikipedia.org/wiki/Mathias_Ouidi,Q16649933,9164.0,,,Matthias,both
600,Q5983299,MeijerB,9237.0,,https://sv.wikipedia.org/wiki/Bernhard_Meijer_(skriftst%C3%A4llare),Q5983299,9237.0,,,MeijerB,both
601,Q5983833,MelinKA,9264.0,,https://sv.wikipedia.org/wiki/Karl_Alfred_Melin,Q5983833,9264.0,,,MelinKA,both
602,Q4354473,MellinGH,9291.0,,https://sv.wikipedia.org/wiki/Gustaf_Henrik_Mellin,Q4354473,9291.0,,,MellinGH,both
603,Q1168281,MennanderCF,19132.0,,https://sv.wikipedia.org/wiki/Carl_Fredrik_Mennander,Q1168281,19132.0,,,MennanderCF,both
604,Q1351994,MesseniusJ,19146.0,,https://sv.wikipedia.org/wiki/Johannes_Messenius,Q1351994,19146.0,,,MesseniusJ,both
605,Q4967157,MeyersonG,9335.0,GerdaMeyerson,https://sv.wikipedia.org/wiki/Gerda_Meyerson,Q4967157,9335.0,GerdaMeyerson,,MeyersonG,both
606,Q5987926,MillqvistV,9359.0,,https://sv.wikipedia.org/wiki/Viktor_Millqvist,Q5987926,9359.0,,,MillqvistV,both
607,Q2824743,ModeerA,9392.0,,https://sv.wikipedia.org/wiki/Adolph_Mod%C3%A9er,Q2824743,9392.0,,,ModeerA,both
608,Q16323592,ModéeRG,9390.0,,https://sv.wikipedia.org/wiki/Reinhold_Gustaf_Mod%C3%A9e,Q16323592,9390.0,,,ModéeRG,both
609,Q5990904,MolanderH,9411.0,,https://sv.wikipedia.org/wiki/Harald_Molander_(teaterman),Q5990904,9411.0,,Harald_Molander,MolanderH,both
610,Q322335,MolinL,9430.0,,https://sv.wikipedia.org/wiki/Lasse-Maja,Q322335,9430.0,,,MolinL,both
611,Q453794,MolinP,9431.0,,https://sv.wikipedia.org/wiki/Pelle_Molin,Q453794,9431.0,,,MolinP,both
612,Q6001547,MornerCG,8709.0,,https://sv.wikipedia.org/wiki/Carl_M%C3%B6rner_(1658%E2%80%931721),Q6001547,8709.0,,,MornerCG,both
613,Q6155155,MortensenJ,9517.0,,https://sv.wikipedia.org/wiki/Johan_Mortensen,Q6155155,9517.0,,,MortensenJ,both
614,Q42899214,MorénT,9499.0,,https://sv.wikipedia.org/wiki/Thorbj%C3%B6rn_Mor%C3%A9n,Q42899214,9499.0,,,MorénT,both
615,Q1657363,MouradgeaDOhssonI,9527.0,,https://sv.wikipedia.org/wiki/Ignatius_Mouradgea_d%27Ohsson,Q1657363,9527.0,,,MouradgeaDOhssonI,both
616,Q41580,MuntheA,8548.0,,https://sv.wikipedia.org/wiki/Axel_Munthe,Q41580,8548.0,,,MuntheA,both
617,Q5997574,MurbergJ,8572.0,,https://sv.wikipedia.org/wiki/Johan_Murberg,Q5997574,8572.0,,,MurbergJ,both
618,Q2913934,MurrayG,8579.0,,https://sv.wikipedia.org/wiki/Gustaf_Murray,Q2913934,8579.0,,,MurrayG,both
619,Q2254365,MånssonF,8630.0,,https://sv.wikipedia.org/wiki/Fabian_M%C3%A5nsson,Q2254365,8630.0,,,MånssonF,both
620,Q1663076,MånssonP,8088.0,,https://sv.wikipedia.org/wiki/Peder_M%C3%A5nsson,Q1663076,8088.0,,,MånssonP,both
621,Q6000859,MöllerA,8655.0,,https://sv.wikipedia.org/wiki/Artur_M%C3%B6ller,Q6000859,8655.0,,,MöllerA,both
622,Q6001036,MöllerJohan,8669.0,,https://sv.wikipedia.org/wiki/Johan_M%C3%B6ller,Q6001036,8669.0,,,MöllerJohan,both
623,Q6001218,MöllerP,8678.0,,https://sv.wikipedia.org/wiki/Peter_von_M%C3%B6ller,Q6001218,8678.0,,,MöllerP,both
624,Q6001375,MörkJH,8695.0,,https://sv.wikipedia.org/wiki/Jacob_Henrik_M%C3%B6rk,Q6001375,8695.0,,,MörkJH,both
625,Q865168,MörnerB,8704.0,,https://sv.wikipedia.org/wiki/Birger_M%C3%B6rner,Q865168,8704.0,,Birger_Mörner,MörnerB,both
626,Q16649926,MüllerD,8596.0,,https://sv.wikipedia.org/wiki/Daniel_M%C3%BCller,Q16649926,8596.0,,,MüllerD,both
627,Q4969069,NeanderE,8818.0,EvaLydiaCarolinaNeander,https://sv.wikipedia.org/wiki/Eva_Neander,Q4969069,8818.0,EvaLydiaCarolinaNeander,,NeanderE,both
628,Q6156422,NermanG,8842.0,,https://sv.wikipedia.org/wiki/Gustaf_Nerman,Q6156422,8842.0,,,NermanG,both
629,Q538109,NermanT,8846.0,,https://sv.wikipedia.org/wiki/Ture_Nerman,Q538109,8846.0,,Ture_Nerman,NermanT,both
630,Q267959,NicanderKA,8873.0,,https://sv.wikipedia.org/wiki/Karl_August_Nicander,Q267959,8873.0,,Karl_August_Nicander,NicanderKA,both
631,Q6009495,NilssonA,8932.0,,https://sv.wikipedia.org/wiki/Albert_Nilsson,Q6009495,8932.0,,,NilssonA,both
632,Q225850,NilssonS,8098.0,,https://sv.wikipedia.org/wiki/Sven_Nilsson_(naturforskare),Q225850,8098.0,,,NilssonS,both
633,Q10608167,NiureniusOP,8140.0,,https://sv.wikipedia.org/wiki/Olaus_Petri_Niurenius,Q10608167,8140.0,,,NiureniusOP,both
634,Q6013913,NorbergS,8178.0,,https://sv.wikipedia.org/wiki/Samuel_Norberg,Q6013913,8178.0,,,NorbergS,both
635,Q737301,NordbergJA,8188.0,,https://sv.wikipedia.org/wiki/J%C3%B6ran_Nordberg,Q737301,8188.0,,,NordbergJA,both
636,Q6014555,NordencrantzA,8203.0,,https://sv.wikipedia.org/wiki/Anders_Nordencrantz,Q6014555,8203.0,,,NordencrantzA,both
637,Q450744,NordenflychtHC,8227.0,HedvigCharlottaNordenflycht,https://sv.wikipedia.org/wiki/Hedvig_Charlotta_Nordenflycht,Q450744,8227.0,HedvigCharlottaNordenflycht,Hedvig_Charlotta_Nordenflycht,NordenflychtHC,both
638,Q156749,NordenskiöldAE,8231.0,,https://sv.wikipedia.org/wiki/Adolf_Erik_Nordenski%C3%B6ld,Q156749,8231.0,,,NordenskiöldAE,both
639,Q6014711,NordenskiöldCF,8234.0,,https://sv.wikipedia.org/wiki/Carl_Fredric_Nordenski%C3%B6ld_den_yngre,Q6014711,8234.0,,,NordenskiöldCF,both
640,Q1505512,NordensvanG,8271.0,,https://sv.wikipedia.org/wiki/Georg_Nordensvan,Q1505512,8271.0,,,NordensvanG,both
641,Q6014967,NordforssCG,8278.0,,https://sv.wikipedia.org/wiki/Carl_Gustaf_Nordforss,Q6014967,8278.0,,,NordforssCG,both
642,Q6014975,NordforssEU,8279.0,,https://sv.wikipedia.org/wiki/Erik_Ulrik_Nordforss,Q6014975,8279.0,,,NordforssEU,both
643,Q4993033,NordinC,8291.0,,https://sv.wikipedia.org/wiki/Carl_Gustaf_Nordin,Q4993033,8291.0,,,NordinC,both
644,Q16650019,NordinJG,8298.0,,https://sv.wikipedia.org/wiki/Johan_Gabriel_Nordin,Q16650019,8298.0,,,NordinJG,both
645,Q16650021,NordlanderJ,8302.0,,https://sv.wikipedia.org/wiki/Johan_Nordlander,Q16650021,8302.0,,,NordlanderJ,both
646,Q38420390,NordstromAJ,8323.0,,https://sv.wikipedia.org/wiki/Anders_Nordstr%C3%B6m_(boktryckare),Q38420390,8323.0,,,NordstromAJ,both
647,Q4970156,NordströmEB,8325.0,EsterBlendaNordstrom,https://sv.wikipedia.org/wiki/Ester_Blenda_Nordstr%C3%B6m,Q4970156,8325.0,EsterBlendaNordstrom,,NordströmEB,both
648,Q6016170,NordströmJ,8330.0,,https://sv.wikipedia.org/wiki/Johan_Nordstr%C3%B6m,Q6016170,8330.0,,,NordströmJ,both
649,Q6016229,NordströmL,8333.0,,https://sv.wikipedia.org/wiki/Ludvig_Nordstr%C3%B6m,Q6016229,8333.0,,,NordströmL,both
650,Q2653181,NoreenA,8342.0,,https://sv.wikipedia.org/wiki/Adolf_Noreen,Q2653181,8342.0,,,NoreenA,both
651,Q6016392,NoreenE,8343.0,,https://sv.wikipedia.org/wiki/Erik_Noreen,Q6016392,8343.0,,,NoreenE,both
652,Q441950,NybergJC,8432.0,JuliaNybergEuphrosyne,https://sv.wikipedia.org/wiki/Julia_Nyberg,Q441950,8432.0,JuliaNybergEuphrosyne,,NybergJC,both
653,Q6019298,NyblomCR,8443.0,,https://sv.wikipedia.org/wiki/Carl_Rupert_Nyblom,Q6019298,8443.0,,Carl_Rupert_Nyblom,NyblomCR,both
654,Q4970525,NyblomH,8447.0,HelenaAugustaNyblom,https://sv.wikipedia.org/wiki/Helena_Nyblom,Q4970525,8447.0,HelenaAugustaNyblom,,NyblomH,both
655,Q15956417,NyblæusG,8438.0,,https://sv.wikipedia.org/wiki/Gustaf_Nybl%C3%A6us_(1816%E2%80%931902),Q15956417,8438.0,,,NyblæusG,both
656,Q6019368,NybomJ,8452.0,,https://sv.wikipedia.org/wiki/Johan_Nybom,Q6019368,8452.0,,,NybomJ,both
657,Q40892992,NycanderF,8457.0,,https://sv.wikipedia.org/wiki/Fredrik_Nycander,Q40892992,8457.0,,,NycanderF,both
658,Q15992226,NyrénC,8493.0,,https://sv.wikipedia.org/wiki/Carl_Nyr%C3%A9n_(pr%C3%A4st),Q15992226,8493.0,,,NyrénC,both
659,Q3100592,NyströmJ,8514.0,JennyNystrom,https://sv.wikipedia.org/wiki/Jenny_Nystr%C3%B6m,Q3100592,8514.0,JennyNystrom,,NyströmJ,both
660,Q6022222,OdelA,7599.0,,https://sv.wikipedia.org/wiki/Anders_Odel,Q6022222,7599.0,,,OdelA,both
661,Q6022523,OdheliusJL,7641.0,,https://sv.wikipedia.org/wiki/Johan_Lorentz_Odhelius,Q6022523,7641.0,,,OdheliusJL,both
